Title,Company,Company Location,Job Location,Experience Years,Duration of Job Title,Job Type,Link
Senior Financial FP & A Analyst,London International Patient Services -,"Heliopolis,Cairo,Egypt",On-site,3 - 5,2 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/fJhPrxVOwmd1-Senior-Financial-FP-A-Analyst-London-International-Patient-Services-Cairo-Egypt
Credit Analyst,CXDA -,"Heliopolis,Cairo,Egypt",On-site,N/A,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Fsu4MCSbVcPf-Credit-Analyst-CXDA-Cairo-Egypt
Senior Actuarial Analyst – P&C,Allianz -,"New Cairo,Cairo,Egypt",On-site,3 - 5,5 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2u1AlwUzoxJv-Senior-Actuarial-Analyst-–-PC-Allianz-Cairo-Egypt
Financial Analyst and Reporting,Bahna Engineering -,"Zamalek,Cairo,Egypt",On-site,3 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/uJ7yJHtD9LCA-Financial-Analyst-and-Reporting-Bahna-Engineering-Cairo-Egypt
ERP System Analyst (Full Stack),Xceed Contact Center -,"Maadi,Cairo,Egypt",On-site,0 - 1,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/L99ABIhYqte0-ERP-System-Analyst-Full-Stack-Xceed-Contact-Center-Cairo-Egypt
Central Operations Senior Analyst,Aman -,"Cairo,Egypt",On-site,1 - 3,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/f69J2Zu1wwJ7-Central-Operations-Senior-Analyst-Aman-Cairo-Egypt
Business Analyst,Misr Elkheir Foundation -,"Mokattam,Cairo,Egypt",On-site,4 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/bJWKYpm8mYO9-Business-Analyst-Misr-Elkheir-Foundation-Cairo-Egypt
Business Analyst - Customer Solutions,Fixed Solutions -,"Cairo,Egypt",Hybrid,N/A,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/rUUx94Lnx9NX-Business-Analyst---Customer-Solutions-Fixed-Solutions-Cairo-Egypt
Senior Business Analyst,Youxel -,"Cairo,Egypt",Hybrid,N/A,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Bwic5aeEJwnE-Senior-Business-Analyst-Youxel-Cairo-Egypt
Economic research analyst,Confidential -,"Heliopolis,Cairo,Egypt",Hybrid,N/A,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/MNOHYDvu8b98-Economic-research-analyst-Cairo-Egypt
Pricing Analyst,Target Recruitment  & HR Solutions  -,"New Cairo,Cairo,Egypt",Remote,1 - 2,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/VhK9uCRxmu4b-Pricing-Analyst-Target-Recruitment-HR-Solutions-Cairo-Egypt
MIS Analyst,FlexFilms Egypt -,"6th of October,Giza,Egypt",On-site,0 - 3,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/CLdMZNsAf52o-MIS-Analyst-FlexFilms-Egypt-Giza-Egypt
SOC Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek,Cairo,Egypt",On-site,1 - 3,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/idC9Mq0A9Wli-SOC-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt
Investment And Financial Analyst,Creative Motion -,"Maadi,Cairo,Egypt",On-site,5 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/HeQIR5mh7WwK-Investment-And-Financial-Analyst-Creative-Motion-Cairo-Egypt
Financial Analyst,Global Professional Services GPS -,"New Cairo,Cairo,Egypt",On-site,3 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/q4bERyTj3ywv-Financial-Analyst-Global-Professional-Services-GPS-Cairo-Egypt
Data Analyst,Confidential -,"Heliopolis,Cairo,Egypt",On-site,3 - 5,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gwMXCIAsEVDU-Data-Analyst-Cairo-Egypt
Ads Sales Quality Analyst (QA),Genpact -,"New Cairo,Cairo,Egypt",On-site,0 - 3,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/11oDzwAm1ygp-Ads-Sales-Quality-Analyst-QA-Genpact-Cairo-Egypt
Fraud Analyst,waffarha.com -,"Sheraton,Cairo,Egypt",On-site,N/A,N/A,Internship,https://wuzzuf.nethttps://wuzzuf.net/internship/f0dPU0lwVXOE-Fraud-Analyst-waffarha-com-Cairo-Egypt
Operational Risk Analyst,Sandah for micro finance -,"Mohandessin,Giza,Egypt",On-site,1 - 3,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/aY7MBZhjCD93-Operational-Risk-Analyst-Sandah-for-micro-finance-Giza-Egypt
Technical Analyst,BTC-Egypt Gold -,"Heliopolis,Cairo,Egypt",On-site,1 - 3,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/5CxzRfJcawMg-Technical-Analyst-BTC-Egypt-Gold-Cairo-Egypt
Accountant Business Analyst,Adamco Pharm -,"6th of October,Giza,Egypt",On-site,1 - 4,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/XDEvaLkmDplB-Accountant-Business-Analyst-Adamco-Pharm-Giza-Egypt
Financial Analyst,Confidential -,"6th of October,Giza,Egypt",On-site,5 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/XHcZ6zUU55yz-Financial-Analyst-Giza-Egypt
Manager - Data Intelligence Analyst,Almosafer -,"Mohandessin,Giza,Egypt",On-site,5 - 8,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/bpjbziXmuWwV-Manager---Data-Intelligence-Analyst-Almosafer-Giza-Egypt
Senior Financial Analyst,Gila Electric -,"New Cairo,Cairo,Egypt",On-site,5 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vLf7Nlwnr9la-Senior-Financial-Analyst-Gila-Electric-Cairo-Egypt
Quality Assurance Analyst,KTS International  -,"Heliopolis,Cairo,Egypt",On-site,5 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kTnvewRb1xHl-Quality-Assurance-Analyst-KTS-International-Cairo-Egypt
Financial Analyst,Caduceus Lane -,"Hurghada,Red Sea,Egypt",On-site,5 - 10,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/WnU4GXJBJvfv-Financial-Analyst-Caduceus-Lane-Red-Sea-Egypt
Financial Analyst Specialist,LEONI Wiring System Egypt S.A.E -,"Nasr City,Cairo,Egypt",On-site,1 - 3,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/teaCajQuaAuT-Financial-Analyst-Specialist-LEONI-Wiring-System-Egypt-S-A-E-Cairo-Egypt
Export Sales & Research Analyst,Royal Cement -,"Sheraton,Cairo,Egypt",On-site,N/A,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/qj7jAeRjIVYn-Export-Sales-Research-Analyst-Royal-Cement-Cairo-Egypt
Sr Pricing analyst,Sky Distribution -,"Sheikh Zayed,Giza,Egypt",On-site,3 - 7,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/NcAkDOJwDfQx-Sr-Pricing-analyst-Sky-Distribution-Giza-Egypt
Sales Data Analyst,Koning Food Industries -,"Cairo,Egypt",On-site,5 - 10,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/uUVolSnUtyNh-Sales-Data-Analyst-Koning-Food-Industries-Cairo-Egypt
Marketing Analyst,Confidential -,"Cairo,Egypt",Hybrid,2 - 4,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/1v8ZESF942bB-Marketing-Analyst-Cairo-Egypt
Senior IT Business Analyst,Confidential -,"Cairo,Egypt",Hybrid,4 - 10,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/lQZzuPYthmAJ-Senior-IT-Business-Analyst-Cairo-Egypt
